PROTEINA	PROTEINB
COP1	SEC27
COP1	SEC21
COR1	QCR2
COX1	COX3
COX1	COX2
COX1	COX4
COX2	COX3
COX2	OXA1
COX3	COX4
COX3	OXA1
COX9	COX5A
COX9	COX4
COX9	COX6
CPA2	CPA1
CPR6	HSP82
CPR6	RPD3
CPR7	RPD3
CRM1	GPE1
CRM1	YAP1
CRM1	YRB2
CRM1	GSP1
CSE1	SRP1
CSE1	GSP1
CSE2	MED4
CSE2	MED7
CTK1	CTK3
CTK2	CTK3
CTK2	CTK1
CUP5	TFP1
CUS1	HSH49
CYB2	MAS6
CYC8	NRG1
CYC8	TUP1
CYR1	SRV2
CYT1	COB
CYT1	RIP1
DBF2	MOB1
DCP1	HRR25
	
DCP2	DCP1
DHH1	POP2
DHH1	DBF2
DHH1	CAF17
DIG2	STE12
DIG2	KSS1
DMC1	RIS1
DMC1	APC2
DMC1	TID3
DMC1	PDC1
DMC1	PET309
DMC1	PDC5
DMC1	ACC1
DOC1	APC2
DOC1	CDC16
DOC1	CDC23
DOC1	APC11
DOC1	APC4
DOC1	CDC26
DPB11	SLD2
DPB3	DPB2
DPB3	POL2
DSE1	STE11
DST1	NMD5
DUO1	DAM1
DYN2	PAC11
EFB1	TEF4
EFB1	TEF2
ENT1	PAN1
ERG25	ERG28
ERG26	ERG25
ERG28	ERG27
ERP1	ERV25
ERP1	EMP24
ERP2	ERV25
ERP2	EMP24
ERP2	ERP1
ERV25	EMP24
ERV46	ERV41
EXO84	SEC10
EXO84	SEC5
FAR1	STE4
FAR1	CDC42
FAS1	FAS2
FIN1	GLC7
FIP1	YTH1
FIP1	YSH1
FIP1	PAP1
FIP1	CFT2
FIP1	RNA14
FIP1	PFS2
FIR1	SPC24
FIR1	PAP1
FIR1	SPO12
FIR1	PAB1
FRQ1	PIK1
FRS2	MSF1
FRS2	FRS1
FUN12	CBF5
FUN12	CDC13
FUR1	URK1
FUR1	SPO12
FUS3	DIG1
FUS3	STE11
FUS3	MPT5
FUS3	STE7
FUS3	STE5
FUS3	DIG2
FUS3	SPH1
FYV9	YNR046W
GAL1	GAL80
GAL11	SIN4
GAL3	GAL80
GAL4	GAL80
GAL83	SNF4
GAL83	SIP2
GCD11	SUI2
GCD14	GCD10
GCD2	GCD1
GCD2	GCN3
GCD2	GCD7
GCD6	GCD1
GCD6	GCD7
GCD6	GCD2
GCD6	GCN3
GCD7	GCD1
GCN20	GCN1
GCN3	GCD1
GCN3	GCD7
GCN5	HFI1
GCN5	TAF90
GCN5	TAF61
	
GCN5	TRA1
GCN5	SPT3
GCS1	AKR1
GCV2	GCV1
GCV3	GCV2
GCV3	GCV1
GDI1	SEC4
GFD1	DBP5
GIC1	CDC42
GIC2	BUD6
GIC2	CDC42
GIC2	PEA2
GIM3	GIM5
GIM3	YKE2
GIM4	GIM3
GIM4	TUB4
GIM4	YKE2
GIM4	PAC10
GIM4	GIM5
GIN4	CDC3
GIN4	CDC11
GIN4	CDC12
GIN4	NAP1
GIP1	SCD5
GIP1	PIG2
GIP1	GLC7
GIP1	STE5
GIP1	GIP2
GIP1	GAC1
GIP1	RED1
GIP2	GLC7
GLC7	SCD5
GLC7	MHP1
GLC7	GLC8
GLC7	SDS22
GLC7	RED1
GLE1	GFD1
GLE1	RIP1
GLE1	NUP42
GLE2	SRP1
GOS1	SED5
GOS1	SFT1
GOS1	YKT6
GPA1	STE4
GPA1	STE11
GPR1	GPA2
GRX3	YGL220W
GSG1	BET3
GSG1	TRS23
GSP1	MTR10
GSP1	DIS3
GSP1	PSE1
GSP1	KAP95
GSY2	PIG1
GTT1	GTT2
GZF3	DAL80
HAP2	HAP5
HAP2	HAP4
HAP2	APG17
HAP3	HAP5
HAP3	HAP4
HAP3	HAP2
HAP5	HAP4
HAT2	HAT1
HFI1	SPT20
HFI1	SPT8
HFI1	ADA2
HFI1	TAF25
HFI1	TAF90
HFI1	TAF61
HFI1	SPT3
HFI1	TAF60
HFI1	TAF17
HHF1	HTA1
HIP1	SEC23
HIP1	SEC24
HIP1	SAR1
HIR1	HIR2
HIR1	SPT4
HMLALPHA2	MCM1
HMO1	FHL1
HOC1	MNN9
HOF1	BNI1
HOG1	HOT1
HOG1	STE11
